,denom,variable,value
7,Greek Orthodox,Devil Exists,4.866666667
8,PCUSA,Devil Exists,3.420118343
9,RCA,Devil Exists,4.543478261
10,SBC,Devil Exists,4.945945946
11,UMC,Devil Exists,4
12,ABCUSA,Devil Exists,4.74
13,Greek Orthodox,Literal Bible,3.2
14,PCUSA,Literal Bible,2.244047619
15,RCA,Literal Bible,3.739130435
16,SBC,Literal Bible,4.648648649
17,UMC,Literal Bible,2.6
18,ABCUSA,Literal Bible,4.26
19,Greek Orthodox,Jesus Returns,4.8
20,PCUSA,Jesus Returns,3.586826347
21,RCA,Jesus Returns,4.608695652
22,SBC,Jesus Returns,4.972972973
23,UMC,Jesus Returns,4.15
24,ABCUSA,Jesus Returns,4.74
25,Greek Orthodox,Virgin Birth,4.928571429
26,PCUSA,Virgin Birth,3.556886228
27,RCA,Virgin Birth,4.760869565
28,SBC,Virgin Birth,5
29,UMC,Virgin Birth,4.05
30,ABCUSA,Virgin Birth,4.79
31,Greek Orthodox,Absolute Truth,4.733333333
32,PCUSA,Absolute Truth,3.473053892
33,RCA,Absolute Truth,4.347826087
34,SBC,Absolute Truth,4.837837838
35,UMC,Absolute Truth,3.95
36,ABCUSA,Absolute Truth,4.69
37,Greek Orthodox,Male Authority,2.8
38,PCUSA,Male Authority,1.718562874
39,RCA,Male Authority,2.717391304
40,SBC,Male Authority,4
41,UMC,Male Authority,1.7
42,ABCUSA,Male Authority,3.37
