denom,variable,value
Greek Orthodox,Devil Exists,4.866666667
PCUSA,Devil Exists,3.420118343
RCA,Devil Exists,4.543478261
SBC,Devil Exists,4.945945946
UMC,Devil Exists,4
Greek Orthodox,Literal Bible,3.2
PCUSA,Literal Bible,2.244047619
RCA,Literal Bible,3.739130435
SBC,Literal Bible,4.648648649
UMC,Literal Bible,2.6
Greek Orthodox,Jesus Returns,4.8
PCUSA,Jesus Returns,3.586826347
RCA,Jesus Returns,4.608695652
SBC,Jesus Returns,4.972972973
UMC,Jesus Returns,4.15
Greek Orthodox,Virgin Birth,4.928571429
PCUSA,Virgin Birth,3.556886228
RCA,Virgin Birth,4.760869565
SBC,Virgin Birth,5
UMC,Virgin Birth,4.05
Greek Orthodox,Absolute Truth,4.733333333
PCUSA,Absolute Truth,3.473053892
RCA,Absolute Truth,4.347826087
SBC,Absolute Truth,4.837837838
UMC,Absolute Truth,3.95
Greek Orthodox,Male Authority,2.8
PCUSA,Male Authority,1.718562874
RCA,Male Authority,2.717391304
SBC,Male Authority,4
UMC,Male Authority,1.7
ABC - HRC,Devil Exists,3.78
ABC - DJT,Devil Exists,4.91
ABC - HRC,Literal Bible,2.84
ABC - DJT,Literal Bible,4.46
ABC - HRC,Jesus Returns,3.87
ABC - DJT,Jesus Returns,4.7
ABC - HRC,Virgin Birth,3.9
ABC - DJT,Virgin Birth,4.89
ABC - HRC,Absolute Truth,3.84
ABC - DJT,Absolute Truth,4.78
ABC - HRC,Male Authority,1.83
ABC - DJT,Male Authority,3.32
